,From,To,Counts,Log2FC,Pvalue,Percentage
339,EC,Sweat Gland,142,-0.1631911528685474,0.92624661715554,0.0029595048039849107
340,EC,actiFB,2685,-0.6709880917942128,1.0,0.055959650695066795
341,EC,cDC,109,0.06240429923904933,0.33429148454276625,0.0022717325608053187
342,EC,cMono,168,-0.006138920780526349,0.5339920221734608,0.0035013859652779224
343,EC,inflamFB,5143,0.10124222956485036,3.062786047003385e-08,0.10718826202038306
344,EC,lipidMacr,118,-1.2170511838891256,1.0,0.0024593068089452073
345,EC,myoFB,175,-0.11370637786569865,0.8683713286347416,0.0036472770471645028
346,EC,pDC,101,0.16924284628706573,0.12325737127616654,0.0021049998957920844
347,EC,papiFB,2891,0.1477166781644477,4.514649654119296e-09,0.06025301681915758
348,EC,retiFB,17539,0.03259609441814616,6.128457721110703e-05,0.3655405264583898
349,EC,trMacr,2465,-0.16125533027739328,0.9999999990400468,0.05137450240720285
350,FB_APOD,AntiInfMacr,4,-1.5408366605596786,0.9970666366028561,0.002530044275774826
351,FB_APOD,Bas-I,0,-inf,1.0,0.0
352,FB_APOD,Bas-II,5,-1.1888513318161364,0.9887463612220898,0.0031625553447185324
353,FB_APOD,Bas-inflamed,5,-0.3194354416262807,0.7465092333277736,0.0031625553447185324
354,FB_APOD,Bas-mig,1,-2.535870407666329,0.9970197633935594,0.0006325110689437065
355,FB_APOD,Bas-prolif,22,-0.4453516074728485,0.9465315902678759,0.013915243516761544
356,FB_APOD,CD4_T,5,-0.06745622430148286,0.6010018921814959,0.0031625553447185324
357,FB_APOD,CD8_T,7,0.8514807622190818,0.09803844977753018,0.004427577482605946
358,FB_APOD,DS,2,-0.42205050810916706,0.7481958336233531,0.001265022137887413
359,FB_APOD,EC,60,-0.6271130509076983,0.9999197086386711,0.03795066413662239
360,FB_APOD,FB_APOD,57,4.119376691895264,0.0,0.036053130929791274
361,FB_APOD,Gra-I,4,-1.974346819910001,0.9998896781825448,0.002530044275774826
362,FB_APOD,HF-CL,1,0.6440386823486053,0.4730708267465318,0.0006325110689437065
363,FB_APOD,HF-HS,0,-inf,1.0,0.0
364,FB_APOD,HF-IRS,2,-0.44342415890173426,0.755457750234193,0.001265022137887413
365,FB_APOD,HF-Matrix,8,-0.007013008830323203,0.5529793803768985,0.005060088551549652
366,FB_APOD,HF-ORSB,3,-2.3671885730746487,0.9999759127092519,0.0018975332068311196
367,FB_APOD,HF-TAC,1,-0.6778894125387571,0.7985491640476263,0.0006325110689437065
368,FB_APOD,MELAN,1,-0.6038888310949804,0.7817383806666094,0.0006325110689437065
369,FB_APOD,Mast,5,-0.8413881448216366,0.9442879861698336,0.0031625553447185324
370,FB_APOD,Mural,103,-0.7990658016206815,0.9999999999718139,0.06514864010120178
371,FB_APOD,SCH,1,-0.1633162397089988,0.6741689978372986,0.0006325110689437065
372,FB_APOD,Spi-I,17,-2.0074351580771945,0.9999999999999887,0.010752688172043012
373,FB_APOD,Spi-mig,1,-4.6868781957660115,0.9999999999948656,0.0006325110689437065
374,FB_APOD,Sweat Gland,1,-2.389384319188845,0.9947697575908651,0.0006325110689437065
375,FB_APOD,actiFB,66,-1.0937463921241497,0.9999999999999083,0.04174573055028463
376,FB_APOD,cDC,0,-inf,1.0,0.0
377,FB_APOD,cMono,4,-0.47490239037490223,0.8057094719242504,0.002530044275774826
378,FB_APOD,inflamFB,108,-0.5487107534397536,0.9999958945161762,0.0683111954459203
379,FB_APOD,lipidMacr,0,-inf,1.0,0.0
380,FB_APOD,myoFB,0,-inf,1.0,0.0
381,FB_APOD,pDC,3,0.019547817440811723,0.5681257593479645,0.0018975332068311196
382,FB_APOD,papiFB,135,0.6507333349226134,2.7029579707793516e-07,0.08538899430740038
383,FB_APOD,retiFB,872,0.6260554991048475,0.0,0.551549652118912
384,FB_APOD,trMacr,77,-0.23828676766338117,0.9423383833349643,0.048703352308665404
385,Gra-I,AntiInfMacr,2,-4.6155214701599325,1.0,0.0003003003003003003
386,Gra-I,Bas-I,6,-1.44559646871762,0.9989633705183937,0.0009009009009009009
387,Gra-I,Bas-II,34,-0.4980013950534131,0.9863486160808813,0.005105105105105105
388,Gra-I,Bas-inflamed,31,0.23814796427297835,0.20089983574547154,0.0046546546546546545
389,Gra-I,Bas-mig,6,-2.0255927165454266,0.9999979873802229,0.0009009009009009009
390,Gra-I,Bas-prolif,80,-0.6575399408230371,0.999996622829556,0.012012012012012012
391,Gra-I,CD4_T,18,-0.2941441273467864,0.8361798438815404,0.002702702702702703
392,Gra-I,CD8_T,4,-2.030558969438776,0.9999339441872447,0.0006006006006006006
393,Gra-I,DS,7,-0.6893803956518166,0.9334386771183254,0.001051051051051051
394,Gra-I,EC,115,-1.7631984051720953,1.0,0.017267267267267267
395,Gra-I,FB_APOD,5,-1.4662700369823698,0.9980093110662306,0.0007507507507507507
396,Gra-I,Gra-I,2740,5.370928548337634,0.0,0.4114114114114114
397,Gra-I,HF-CL,1,-1.4306461272516484,0.9333060547394177,0.00015015015015015014
398,Gra-I,HF-HS,0,-inf,1.0,0.0
399,Gra-I,HF-IRS,8,-0.518108968501988,0.8851569854312327,0.0012012012012012011
400,Gra-I,HF-Matrix,51,0.5907275235409186,0.003368001439578272,0.0076576576576576575
401,Gra-I,HF-ORSB,45,-0.5349827870663839,0.9967565492187571,0.006756756756756757
402,Gra-I,HF-TAC,10,0.5693538727483518,0.14306747182260549,0.0015015015015015015
403,Gra-I,MELAN,1,-2.6785736406952343,0.9983914883188254,0.00015015015015015014
404,Gra-I,Mast,12,-1.6530385485880963,0.9999997259256951,0.0018018018018018018
405,Gra-I,Mural,110,-2.778891424879494,1.0,0.016516516516516516
406,Gra-I,SCH,0,-inf,1.0,0.0
407,Gra-I,Spi-I,1594,2.468853105062684,0.0,0.23933933933933935
408,Gra-I,Spi-mig,857,2.981588388746234,0.0,0.1286786786786787
409,Gra-I,Sweat Gland,10,-1.1421410339017364,0.9986266173054551,0.0015015015015015015
410,Gra-I,actiFB,96,-2.6278628203617007,1.0,0.014414414414414415
411,Gra-I,cDC,2,-2.8569108819537465,0.9999926176209932,0.0003003003003003003
412,Gra-I,cMono,5,-2.2276591050877936,0.9999990833246204,0.0007507507507507507
413,Gra-I,inflamFB,163,-2.0295549109723985,1.0,0.024474474474474473
414,Gra-I,lipidMacr,0,-inf,1.0,0.0
415,Gra-I,myoFB,0,-inf,1.0,0.0
416,Gra-I,pDC,6,-1.055136992159442,0.9852354792390687,0.0009009009009009009
417,Gra-I,papiFB,148,-1.2913137060995215,1.0,0.022222222222222223
418,Gra-I,retiFB,423,-2.4922997821523825,1.0,0.06351351351351352
419,Gra-I,trMacr,70,-2.45047510101357,1.0,0.010510510510510511
420,HF-CL,AntiInfMacr,7,1.5399930883582136,0.01142986588085737,0.021406727828746176
421,HF-CL,Bas-I,0,-inf,1.0,0.0
422,HF-CL,Bas-II,5,1.0846234950441518,0.08985753308596145,0.01529051987767584
423,HF-CL,Bas-inflamed,5,1.9540393852340074,0.01016940906227981,0.01529051987767584
424,HF-CL,Bas-mig,0,-inf,1.0,0.0
425,HF-CL,Bas-prolif,6,-0.046345898528701315,0.5870617118375255,0.01834862385321101
426,HF-CL,CD4_T,4,1.8840905076714431,0.02429571006583009,0.012232415902140673
427,HF-CL,CD8_T,2,1.317600667021766,0.19196950766287202,0.0061162079510703364
428,HF-CL,DS,4,2.8514243187511212,0.0024923626056618797,0.012232415902140673
429,HF-CL,EC,19,-0.012601306212342806,0.5488546291262946,0.0581039755351682
430,HF-CL,FB_APOD,1,0.5599615045908096,0.4929597869242828,0.0030581039755351682
431,HF-CL,Gra-I,3,-0.11590949232855674,0.6319650086002659,0.009174311926605505
432,HF-CL,HF-CL,0,-inf,1.0,0.0
433,HF-CL,HF-HS,0,-inf,1.0,0.0
434,HF-CL,HF-IRS,0,-inf,1.0,0.0
435,HF-CL,HF-Matrix,2,0.2664618180299651,0.49566138588548336,0.0061162079510703364
436,HF-CL,HF-ORSB,2,-0.678676246935517,0.8304409402244142,0.0061162079510703364
437,HF-CL,HF-TAC,0,-inf,1.0,0.0
438,HF-CL,MELAN,2,2.669585995765308,0.040068507403363984,0.0061162079510703364
439,HF-CL,Mast,3,0.6951210878724458,0.2834799626558484,0.009174311926605505
440,HF-CL,Mural,32,-0.21209150194361173,0.834165641963381,0.09785932721712538
441,HF-CL,SCH,0,-inf,1.0,0.0
442,HF-CL,Spi-I,5,-1.4994950775798837,0.9986224294231102,0.01529051987767584
443,HF-CL,Spi-mig,1,-2.4134033689057235,0.9953564881074299,0.0030581039755351682
444,HF-CL,Sweat Gland,1,-0.11590949232855674,0.6623285073600363,0.0030581039755351682
445,HF-CL,actiFB,22,-0.40523406598501777,0.9357538114493578,0.0672782874617737
446,HF-CL,cDC,6,3.076211255227952,9.416551043017751e-05,0.01834862385321101
447,HF-CL,cMono,2,0.798572436485386,0.3192779574025526,0.0061162079510703364
448,HF-CL,inflamFB,30,-0.12323283313441556,0.7153911388130239,0.09174311926605505
449,HF-CL,lipidMacr,0,-inf,1.0,0.0
450,HF-CL,myoFB,0,-inf,1.0,0.0
451,HF-CL,pDC,0,-inf,1.0,0.0
452,HF-CL,papiFB,32,0.8473925647320708,0.0010840024434822793,0.09785932721712538
453,HF-CL,retiFB,86,-0.4423892441096926,0.9998933405431705,0.26299694189602446
454,HF-CL,trMacr,45,1.2602546148316804,6.546664010897985e-08,0.13761467889908258
455,HF-HS,AntiInfMacr,0,-inf,1.0,0.0
456,HF-HS,Bas-I,1,-1.3993734519569743,0.9288460531234601,0.0009302325581395349
457,HF-HS,Bas-II,2,-1.9542787188219506,0.9963282783777205,0.0018604651162790699
458,HF-HS,Bas-inflamed,8,0.9151371713679052,0.06637250891962165,0.0074418604651162795
459,HF-HS,Bas-mig,0,-inf,1.0,0.0
460,HF-HS,Bas-prolif,0,-inf,1.0,0.0
461,HF-HS,CD4_T,0,-inf,1.0,0.0
462,HF-HS,CD8_T,8,1.6006265480430257,0.0056921904331914686,0.0074418604651162795
463,HF-HS,DS,0,-inf,1.0,0.0
464,HF-HS,EC,8,-2.9775029386346685,1.0,0.0074418604651162795
465,HF-HS,FB_APOD,0,-inf,1.0,0.0
466,HF-HS,Gra-I,0,-inf,1.0,0.0
467,HF-HS,HF-CL,0,-inf,1.0,0.0
468,HF-HS,HF-HS,769,9.086939460050887,0.0,0.7153488372093023
469,HF-HS,HF-IRS,136,6.200539390230153,0.0,0.12651162790697673
470,HF-HS,HF-Matrix,62,3.5036840094381,0.0,0.05767441860465116
471,HF-HS,HF-ORSB,8,-0.3956503659142568,0.8248519831989733,0.0074418604651162795
472,HF-HS,HF-TAC,6,2.4635737960639474,0.0008947506689965801,0.005581395348837209
473,HF-HS,MELAN,0,-inf,1.0,0.0
474,HF-HS,Mast,0,-inf,1.0,0.0
475,HF-HS,Mural,0,-inf,1.0,0.0
476,HF-HS,SCH,0,-inf,1.0,0.0
477,HF-HS,Spi-I,0,-inf,1.0,0.0
478,HF-HS,Spi-mig,0,-inf,1.0,0.0
479,HF-HS,Sweat Gland,0,-inf,1.0,0.0
480,HF-HS,actiFB,0,-inf,1.0,0.0
481,HF-HS,cDC,0,-inf,1.0,0.0
482,HF-HS,cMono,2,-0.9184016824933539,0.8914957085429124,0.0018604651162790699
483,HF-HS,inflamFB,12,-3.162135047000518,1.0,0.011162790697674419
484,HF-HS,lipidMacr,0,-inf,1.0,0.0
485,HF-HS,myoFB,0,-inf,1.0,0.0
486,HF-HS,pDC,0,-inf,1.0,0.0
487,HF-HS,papiFB,8,-2.869581554246669,1.0,0.0074418604651162795
488,HF-HS,retiFB,45,-3.0937750214608557,1.0,0.04186046511627907
489,HF-HS,trMacr,0,-inf,1.0,0.0
490,HF-IRS,AntiInfMacr,0,-inf,1.0,0.0
491,HF-IRS,Bas-I,8,1.3331255905273407,0.015941854983155923,0.0061823802163833074
492,HF-IRS,Bas-II,5,-0.8998515814502732,0.9558419448862339,0.0038639876352395673
493,HF-IRS,Bas-inflamed,11,1.1070678324895173,0.015459476625237722,0.008500772797527048
494,HF-IRS,Bas-mig,2,-1.246870657300466,0.9505186377672908,0.0015455950540958269
495,HF-IRS,Bas-prolif,23,-0.09222151968726962,0.6496234939456682,0.01777434312210201
496,HF-IRS,CD4_T,8,0.8996154311770181,0.06968601497542537,0.0061823802163833074
497,HF-IRS,CD8_T,8,1.3331255905273407,0.015941854983155923,0.0061823802163833074
498,HF-IRS,DS,1,-1.133050757743304,0.888850549368123,0.0007727975270479134
499,HF-IRS,EC,47,-0.6904150444727162,0.9998967810111279,0.03632148377125193
500,HF-IRS,FB_APOD,2,-0.42451357190361527,0.7490386148738382,0.0015455950540958269
501,HF-IRS,Gra-I,8,-0.6853470695441379,0.9430594078471515,0.0061823802163833074
502,HF-IRS,HF-CL,1,0.9330384327144686,0.4080239306600677,0.0007727975270479134
503,HF-IRS,HF-HS,132,6.27699283393183,0.0,0.10200927357032458
504,HF-IRS,HF-IRS,285,7.000393700516232,0.0,0.22024729520865532
505,HF-IRS,HF-Matrix,51,2.9544120835070355,0.0,0.03941267387944358
506,HF-IRS,HF-ORSB,62,2.2910449869569334,0.0,0.04791344667697063
507,HF-IRS,HF-TAC,3,1.1960728385482624,0.14484208097652196,0.00231839258114374
508,HF-IRS,MELAN,0,-inf,1.0,0.0
509,HF-IRS,Mast,7,-0.06696156728553156,0.599265588415139,0.005409582689335394
510,HF-IRS,Mural,35,-2.0672835614930705,1.0,0.02704791344667697
511,HF-IRS,SCH,0,-inf,1.0,0.0
512,HF-IRS,Spi-I,10,-2.483970154074308,0.9999999999999964,0.0077279752704791345
513,HF-IRS,Spi-mig,5,-2.075950350512786,0.9999938211661389,0.0038639876352395673
514,HF-IRS,Sweat Gland,3,-0.5154220681018256,0.8018805686578194,0.00231839258114374
515,HF-IRS,actiFB,51,-1.1767154191452445,0.999999999999035,0.03941267387944358
516,HF-IRS,cDC,1,-1.4932263219876292,0.9404271115331535,0.0007727975270479134
517,HF-IRS,cMono,12,1.3990598607121172,0.0025504205054045492,0.00927357032457496
518,HF-IRS,inflamFB,107,-0.2731315188362122,0.9847050183814515,0.08268933539412673
519,HF-IRS,lipidMacr,1,-2.8871405297007193,0.9994040458020379,0.0007727975270479134
520,HF-IRS,myoFB,0,-inf,1.0,0.0
521,HF-IRS,pDC,3,0.30854756780667486,0.43631556185286136,0.00231839258114374
522,HF-IRS,papiFB,96,0.447879988958802,0.0015977488865284162,0.07418856259659969
523,HF-IRS,retiFB,264,-0.8087349559477619,1.0,0.20401854714064915
524,HF-IRS,trMacr,42,-0.8237561352136591,0.9999891315743606,0.03245749613601236
525,HF-Matrix,AntiInfMacr,13,-1.0941240982162423,0.9993827689825572,0.0034482758620689655
526,HF-Matrix,Bas-I,5,-0.887673220748816,0.953489775290622,0.001326259946949602
527,HF-Matrix,Bas-II,41,0.5930454221169292,0.0076391605170244015,0.010875331564986738
528,HF-Matrix,Bas-inflamed,45,1.5967624040183757,1.898453616533402e-10,0.011936339522546418
529,HF-Matrix,Bas-mig,5,-1.4676694685766227,0.9980140074873618,0.001326259946949602
